UDP_ID,SKU_ID,Sum of Sales,ProductName,Manu,IS PL?,Current Sales Rank,Suggested UDP Rank,July- Pageviews,Aug- Pageviews,Comments
22,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,13,3,120703,115924,done
22,503415,131727.0476,1mg Gokshura Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,38,4,120703,115924,done
45,465533,,Ashwagandha,Tata 1mg Healthcare Solutions Private Limited,1,12,3,88936,74835,done
45,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,22,4,88936,74835,done
12,684767,714100.254,Tata 1mg 3 Ply Surgical Mask with Meltblown Filter and Nose Pin 50 Mask Light Blue,Tata 1mg Healthcare Solutions Private Limited,1,10,4,76836,76926,done
12,723019,551345.6667,Tata 1mg Blood Pressure Monitor Fully Automatic,Tata 1mg Healthcare Solutions Private Limited,1,12,2,76836,76926,done
12,728158,16666.7619,Tata 1mg Knee Support Pair of 2 Large,Tata 1mg Healthcare Solutions Private Limited,1,18,6,76836,76926,done
9,735432,,B Complex,Tata 1mg Healthcare Solutions Private Limited,1,3,4,60367,74437,done
128,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,45807,43360,done
9,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,7,,,,
9,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,8,,,,
128,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,5,2,45807,43360,done
128,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,6,3,45807,43360,done
664,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,28491,31708,done
664,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,2,2,28491,31708,done
664,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,3,3,28491,31708,done
664,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,4,4,28491,31708,done
162,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,2,1,27321,34841,done
162,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,3,2,27321,34841,done
162,555713,555709.2599,"Tata 1mg Senior 50+ Multivitamin & Multimineral Immunity Booster Zinc, Vitamin C, Calcium, and Vitamin D Veg Tablet",Tata 1mg Healthcare Solutions Private Limited,1,6,3,27321,34841,done
925,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,5,1,26429,3737,done
925,684767,714100.254,Tata 1mg 3 Ply Surgical Mask with Meltblown Filter and Nose Pin 50 Mask Light Blue,Tata 1mg Healthcare Solutions Private Limited,1,7,2,26429,3737,done
925,723271,380077.7839,Tata 1mg Digital Thermometer,Tata 1mg Healthcare Solutions Private Limited,1,14,3,26429,3737,done
152,723019,551345.6667,Tata 1mg Blood Pressure Monitor Fully Automatic,Tata 1mg Healthcare Solutions Private Limited,1,2,1,26258,26976,done
6,538067,345298.0395,Tata 1mg Apple Cider Vinegar Probiotic Plus - Raw Unfiltered Unpasteurized with The Mother,Tata 1mg Healthcare Solutions Private Limited,1,6,2,24648,2585,done
51,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,3,1,20008,22812,done
51,503415,131727.0476,1mg Gokshura Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,8,2,20008,22812,done
37,708642,339468.9167,"Tata 1mg Vaporizer-Steam Inhaler, 3 in 1 with Double Wall Safety",Tata 1mg Healthcare Solutions Private Limited,1,2,1,18005,13189,
37,630370,236083.3333,"Tata 1mg Vitamin C+Vitamin D3, Zinc and Amla Extract Chewable Tablet",Tata 1mg Healthcare Solutions Private Limited,1,4,2,18005,13189,
142,702915,,,Tata 1mg Healthcare Solutions Private Limited,1,2,2,17737,12275,
142,778400,,Giloy,Tata 1mg Healthcare Solutions Private Limited,1,3,2,17737,12275,
142,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,4,3,17737,12275,
18,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,2,1,17409,24226,done
18,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,32,4,17409,24226,done
20,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,14,3,16700,10912,
163,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,15540,12494,
163,735446,,Cod Liver,Tata 1mg Healthcare Solutions Private Limited,1,6,2,15540,12494,
163,744197,66055.15254,Tata 1mg Flaxseed Oil 1000mg Omega 3 Capsule for Heart Health,Tata 1mg Healthcare Solutions Private Limited,1,12,4,15540,12494,
32,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,1,1,13682,40536,done
32,535187,483102.6901,"Tata 1mg Glucosamine HCL 1500 mg Tablets for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, and Curcuma Longa",Tata 1mg Healthcare Solutions Private Limited,1,3,2,13682,40536,done
32,603942,158834.5028,1mg Turmeric Curcumin 95% with Piperine Capsule,Tata 1mg Healthcare Solutions Private Limited,1,17,4,13682,40536,done
35,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,13485,6698,
35,723019,551345.6667,Tata 1mg Blood Pressure Monitor Fully Automatic,Tata 1mg Healthcare Solutions Private Limited,1,3,2,13485,6698,
35,603949,117769.7288,"Tata 1mg CoQ 10 Tablet 99% Ubiquinone with Zinc, Omega 3 & L-Arginine for Heart Health",Tata 1mg Healthcare Solutions Private Limited,1,22,4,13485,6698,
905,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,9,2,13443,2484,
905,503415,131727.0476,1mg Gokshura Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,14,3,13443,2484,
30,744188,165894.1582,Tata 1mg Probiotics 30 Billion CFUs+ Capsule with Prebiotic Fibre,Tata 1mg Healthcare Solutions Private Limited,1,33,4,12359,16034,
1013,661706,36829.0452,1mg Diabetes Nutrition Mix Vanilla,Tata 1mg Healthcare Solutions Private Limited,1,18,4,11296,4774,
